begin_dt,end_dt,h0,hend,cloudtype,notes,extra
20141103000000,20141103020000,0,10,DCS,DCS with cloud top at 8-9km ALT, meltinglayer at 1.5km,missing data
20141103020000,20141103040000,0,3,DRIZ, MPC, LLLC,small DRIZ event CT at 2.5km ALT, smaller LLLC at 0330UTC at 0.5km ALT,missing dataA
20141103040000,20141103060000,0,7,MPC, LLLC, DCS,beginning of DCS, LLLC at 0.5-1km ALT, MPC at 4-6km ALT,missing data
20141103060000,20141103084500,0,11,DCS,wet radome,missing data
20141103175500,20141103235955,0,11,DCS,wet radome,missing data
20141104,20141104,,,,,no ANN output
20141105,20141105,,,,,no ANN output
20141106,20141106,,,,,no data
20141107023000,20141107084500,1,4,MPC,patchy MPC
20141107085000,20141107123000,0,10,DCS,cloudnet detects CD in DRIZ
20141107123000,20141107154500,0,2,LLLC,thick LLLC below 2km
20141107155000,20141107180000,0,5,DRIZ,DRIZ cloud CT at 4 km
20141107180000,20141107233000,0,3,DRIZ,small showers  and LLLC at melting layer height
20141108,20141108,,,,,no data
20141109000000,20141109051500,0,10,DRIZ, MPC, LLLC, …,multiple different cloud types, cloud above 4 km mostly ice?
20141109061500,20141109184500,0,4,MPC, LLLC,longer period of MPC and LLLC, above thin cirrus clouds
20141109184500,20141109203500,0,10,LLLC, DRIZ, CIR,small shower at 1900UTC
20141110,20141110,,,,,no ANN output
20141111,20141111,,,,,no ANN output
20141112050000,20141112150000,0,11,DCS,starts low, increasing CT after 0900UTC
20141113130000,20141113160000,0,10,CIR  ,higher level cloud, small amounts of SCL
20141113183000,20141113204500,0,6,MPC,single MPC cloud
20141114000000,20141114083000,0,11,CIR  ,longer period of CIR clouds, small amounts of SCL?
20141114083000,20141114143000,0,11,MPC, DRIZ,patchy MPC, DCS stats forming at 1200UTC
20141114143000,20141114210000,0,11,DCS,
20141114210000,20141114214500,0,3,LLLC, DRIZ, DCS,mixture of LLLC, remainings of DCP and DRIZ, looking only at max 3km ALT
20141114214500,20141114235955,0,11,DCS, DRIZ,more DRIZ form DCS, also CD and SCL detected by cloudnet
20141115000000,20141115123000,0,10,DCS, DRIZ,continuning DCS, cloudnet detects some CD within DRIZ (missclassification?)
20141115123000,20141115190000,0,3,DRIZ, MPC, …,weird classification (is all DRIZ?), MPC above melting layer
20141115200000,20141115235955,0,10,DCS,"developing DCS, "
20141115200000,20141115235955,0,3,LLLC,small LLLC at 1.5km ALT
20141116000000,20141116033000,0,10,DCS, LLLC,DCS continuues, no DRIZ in this time frame
20141116033000,20141117220000,0,10,DCS, DRIZ,long DCS, cloudnet detecting some CD in DRIZZ and slightly above melting layer,almost no LWP available
20141117000000,20141117023000,0,2,MPC, LLLC, DRIZZ,low level cloud including short period of DRIZ, CT below 2km ALT
20141117023000,20141117050000,0,3,MPC, DRIZ,precipitating low level cloud CT below 2.5km,unreliable LWP
20141117050000,20141117093000,0,2,MPC, DRIZ, CD,low level cloud including short period of DRIZ, CT below 2km ALT,reliable LWP
20141117103000,20141117143000,0,2,LLLC,single layer low level liquid cloud
20141117143000,20141117235955,0,4,MPC, DRIZ,lower level clouds with precipitation, between precip. smaller LLLC, odd target classification (vertical stripes)
20141118030000,20141118060000,0,9,MPC, DRIZ,SCL at 3km ALT untill 4UTC, mostly ice
20141118060000,20141118132500,0,10,MPC, DRIZ,at least 2 cloud layers, including DRIZ, gap between 2.5-5km ALT, above only ice?

