begin_dt,end_dt,h0,hend,cloudtype,notes,extra
20141015000000,20141015060000,0,4,DRIZZ +  MPC +  LLLC,MPC supercooled CT below 3km +  lots of vertical stripes in target classification +  ,
20141015113000,20141015130000,0,3,LLLC,single layer +  small amounts of DRIZ,good LWP
20141015130000,20141015180000,0,10,LLLC +  MPC,multiple LLLC +  multiple layers with large gap between layers +  possible SCL above 6km ALT,
20141015180000,20141015235955,0,9,DCS,convective system with MPC detected by cloudnet in beginning +  lots of DRIZ+CD in lower ALT,
20141016000000,20141016064500,0,10,CONV +  DCS,multiple convective systems +  possible SCL detected by cloudnet,
20141016064500,20141016090000,0,3,LLLC +  DRIZ,small amounts of DRIZ +  ,
20141016090000,20141016133000,0,6,LLLC +  DRIZ +  MPC,smaller peridos of DRIZ and LLLC,
20141016140000,20141016235955,0,11,LLLC +  CIR +  STRAT,CIR in the beginning +  tiny LLLC at 1900UTC +  thick mid/high level cloud +  continuuing on next day,
20141017000000,20141017050000,3,10,STRAT,STRAT cloud with no SCL detected by cloudnet,very low LWP?
20141017054500,20141017103000,0,3,LLLC,very low LLLC below 1km ALT +  more at 2.5km ALT,
20141017103000,20141017133000,0,4,DRIZ +  MPC,small amounts of DRIZ +  maybe MPC top?,
20141017170000,20141017235955,0,11,MPC +  CIR,MPC clouds at 6km ALT and below +  above CIR clouds ,low LWP
20141018003000,20141018060000,0,12,MPC +  DRIZ +  CIR,multiple cloud layers +  including DRIZ +  SCL below 5.5km ALT,LWP mostly available
20141018060000,20141018133000,0,12,CIR,CIR only in this region +  no liquid detected/predicted,
20141018220000,20141018235955,0,3,LLLC,single layer,very low LWP?
20141019000000,20141019103000,0,10,MPC,small patchy SCL layers ,
20141019103000,20141019160000,0,6,MPC +  DRIZ +  CONV +  LLLC,multiple cloud layers +  incl LLLC +  short DRIZ events,
20141019190000,20141019235955,0,10,MPC +  LLLC +  CIR,LLLC with CT below 1km +  DRIZ detected by cloudnet +  MPC with CT at 7.5km ALT,very low LWP?
20141020010000,20141020133000,0,3,LLLC +  DRIZ +  MPC,longer period with DRIZ +  LLLC again stripes in target classification +  clouds all above 0°C,
20141020133000,20141020180000,0,8,LLLC +  DRIZ +  MPC,multiple cloud layers +  MPC with SCL at 5.5km ALT +  LLLC at 2km ALT,
20141020180000,20141020210000,0,6,MPC,MPC with good LWP values?,
20141020210000,20141020235955,0,3,MPC +  DRIZ,MPC contains some DRIZ +  later DRIZ reaching ground,
20141021000000,20141021060000,0,3,MPC +  DRIZ,MPC contains some DRIZ +  later DRIZ reaching ground,
20141021060000,20141021235955,0,9,CONV +  DCS,precipitation almost hole day +  some SCL deteceted by cloudnet +  stripes again,bad LWP +  mostly wet radome
20141022000000,20141022120000,0,7,CONV +  DCS,last day continuus +  precipitation almost hole day +  some SCL deteceted by cloudnet +  stripes again,bad LWP +  mostly wet radome +  missing data
20141023000000,20141023000000,,,,,cloud free
20141024000000,20141024053000,0,6,LLLC +  DRIZ,lots of DRIZ incl CD +  almost single layer,good enough LWP
20141024053000,20141024220000,0,10,CONV +  DCS,lots of DRIZ incl CD +  CD within DRIZ with lowering ALT below 2km,almost no LWP
20141025033000,20141025235955,0,2,LLLC,patchy LLLC +  some with DRIZ and CD + ,good LWP
20141026000000,20141026120000,0,2,LLLC,patchy LLLC +  small amounts of DRIZ +  above CIR,
20141026000000,20141026120000,0,12,CIR +  MPC,same time frame from above but only looking at CIR part of the cloud +  cloud gap of 4km,
20141026183000,20141026235955,0,2,LLLC,patchy LLLC +  small tiny of DRIZ +  above CIR,
20141026120000,20141026235955,0,12,CIR +  MPC,same time frame from above but only looking at CIR part of the cloud +  cloud gap of 4km,
20141027000000,20141027000000,,,,,almost cloud free +  data gaps
20141028180000,20141028235955,0,1,LLLC,tiny amounts of liquid?,almost no LWP measured
20141029000000,20141029000000,,,,odd target categorization … exclude from analysis???,almost cloud free +  data gaps
20141030000000,20141030093000,0,6,DRIZ +  MPC,odd target categorization … exclude from analysis??? +  ANN predicts lots of SCL,
20141030093000,20141030143000,0,11,DRIZZ +  CONV +  CIR,multiple cloud layers +  strong precipitation in beginning +  MPC at 1200UTC CT at 5km ALT,
20141030150000,20141030220000,0,4,MPC,single layer MPC,mostly very low LWP
20141031060000,20141031100000,0,4,MPC +  LLLC,LLLC could also be SCL,small amounts of LWP after 8UTC
20141031040000,20141031160000,0,12,CIR +  MPC,almost same time frame as above but looking at CIR/MPC part +  some liquid detected by cloudnet,
